Grease,Grease,Type,Color,Base oil viscosity1,NLGI grade2,Moly %,Notes3
Off-highway greases,Mobil Centaur XHP™ 152,Calcium sulfonate,Gray,150,2,5,-
Off-highway greases,Mobil Centaur XHP™ 151,Calcium sulfonate,Gray,150,1,5,-
Off-highway greases,Mobil Centaur XHP™ 150,Calcium sulfonate,Gray,150,0,5,-
Off-highway greases,Mobil Centaur™ Moly 2,Calcium sulfonate,Gray,320,1,3,-
Off-highway greases,Mobil Centaur™ Moly 1,Calcium sulfonate,Gray,320,2,3,-
Off-highway greases,Mobil Centaur XHP™ 462 Mine,Calcium sulfonate,Gray,460,2,5,-
Off-highway greases,Mobil Centaur XHP™ 461 Mine,Calcium sulfonate,Gray,460,1,5,-
Off-highway greases,Mobil Centaur XHP™ 462,Calcium sulfonate,Amber,460,2,-,-
Off-highway greases,Mobil Centaur XHP™ 461,Calcium sulfonate,Amber,460,1,-,-
Off-highway greases,Mobil Centaur XHP™ 221,Calcium sulfonate,Amber,220,1,-,Typically for paper machines
Off-highway greases,Mobilgrease XHP™ 322 Mine,Lithium complex,Gray,320,2,5,-
Off-highway greases,Mobilgrease XHP™ 321 Mine,Lithium complex,Gray,320,1,5,-
Off-highway greases,Mobilgrease XHP™ 100 Mine,Lithium complex,Gray,100,0,5,-
Off-highway greases,Mobilgrease XHP™ 320 Mine,Lithium complex,Gray,320,0,5,-
Off-highway greases,Mobilgrease XHP™ 681 Mine,Lithium complex,Gray,680,1,5,Komatsu Mining
Off-highway greases,Mobilgrease™ CM-P,Lithium complex,Gray,320,2,3,-
Off-highway greases,Mobilgrease™ CM-L,Lithium complex,Gray,150,1,3,-
Off-highway greases,Mobilgrease™ CM-S,Lithium complex,Orange,320,2,-,-
Off-highway greases,Mobilgrease™ XHP CM-W,Lithium complex,Orange,150,1,-,-
Off-highway greases,Mobilgrease XHP™ 222,Lithium complex,Blue,220,2,-,General purpose applications
Off-highway greases,Mobilgrease XHP™ 222 Special,Lithium complex,Gray,220,2,0.75,-
Off-highway greases,Mobilgrease XHP™ 221,Lithium complex,Blue,220,1,-,-
Off-highway greases,Mobilgrease XHP™ 220,Lithium complex,Blue,220,0,-,-
Off-highway greases,Mobilgrease XHP™ 462 Moly,Lithium complex,Gray,460,2,3,-
Off-highway greases,Mobilgrease XHP™ 462,Lithium complex,Blue,460,2,-,-
Off-highway greases,Mobilgrease XHP™ 461,Lithium complex,Blue,460,1,-,-
Off-highway greases,Mobil Delvac™ Extreme Grease,Lithium complex,Orange,320,2,-,General purpose applications
Off-highway greases,Mobil SHC™ Grease 102 EAL,Lithium,Tan,100,2,-,"Biodegradable, nontoxic"
Off-highway greases,Mobil SHC™ Grease 101 EAL,Lithium,Tan,100,1,-,"Biodegradable, nontoxic"
Off-highway greases,Mobil SHC™ Grease 68 Moly,Lithium complex,Gray,68,0,5,Low-temp grease
Off-highway greases,Mobilith SHC™ 007,Lithium complex,Red,460,00,-,Semifluid grease applications
